filename,university_id,country_code,region,long_name,info_page_id,ranking,housing,campus
uni-data\data\switz-bern.md,unibe,CHE,"Bern","University of Bern","switz-bern",nothing,Available,single
uni-data\data\uk-bristol.md,bristol,GBR,"Bristol","University of Bristol","uk-bristol",nothing,Available,single
uni-data\data\uk-hertfordshire.md,herts,GBR,"Hertfordshire","University of Hertfordshire","uk-hertfordshire",nothing,Available,single
uni-data\data\uk-lancashire.md,uclan,GBR,"Preston","University of Central Lancashire","uk-lancashire",nothing,Available,single
uni-data\data\uk-leeds.md,leeds,GBR,"Leeds","University of Leeds","uk-leeds",nothing,Available,single
uni-data\data\uk-leicester.md,leacuk,GBR,"Leicester","University of Leicester","uk-leicester",nothing,Available,single
uni-data\data\uk-northumbria.md,northumbria,GBR,"Newcastle upon Tyne","Northumbria University","uk-northumbria",nothing,Available,single
uni-data\data\uk-reading.md,reading,GBR,"Reading","University of Reading","uk-reading",nothing,Available,single
uni-data\data\uk-sheffield.md,Sheffield,GBR,"Sheffield","University of Sheffield","uk-sheffield",nothing,Available,single
uni-data\data\uk-westeng.md,uweuk,GBR,"Bristol","University of the West of England","uk-westeng",nothing,Available,single
uni-data\data\uk-york.md,yorksj,GBR,"York","York St John University","uk-york",nothing,Available,single
uni-data\data\usa-clarkson.md,clarkson_uni,USA,"Potsdam",Clarkson University,"usa-clarkson",nothing,"on-campus",single
uni-data\data\usa-houston.md,houston_reep,USA,"Houston",University of Houston,"usa-houston",nothing,"on-campus",single
uni-data\data\usa-kelly.md,kelly,USA,Indiana,"Indiana University Bloomington","usa-kelly",nothing,"Available",single
uni-data\data\usa-mbu.md,umass,USA,"Boston, Massachusetts",UMass Boston,"usa-mbu",nothing,"off-campus",single
uni-data\data\usa-northpark.md,northpark,USA,Chicago,North Park University,"usa-northpark",nothing,"Available",single
uni-data\data\usa-pennstate.md,pennsate,USA,"Penn state, Germany",Penn State University,"usa-pennstate",nothing,"on-campus",multiple
uni-data\data\usa-sjsu.md,san_jose,USA,"San Jose, California",San Jose State University,"usa-sjsu",nothing,"N/A",single
uni-data\data\usa-ucsc.md,ucsc,USA,"California",UC Santa Cruz,"usa-ucsc",nothing,"on-campus",single
uni-data\data\usa-unf.md,unf,USA,"Jacksonville, Florida",University of North Florida,"usa-unf",nothing,"on-campus",single
uni-data\data\usa-utdallas.md,new_ut_dallas,USA,"Richardson, Texas","University of Texas at Dallas","usa-utdallas",nothing,"on-campus",single
